,0
patribotics,0.19202165305614471
Bipartisanism,0.999914824962616
fwdprogressives,0.9993919134140015
HuffPost,0.9998319149017334
MSNBC,0.9636203050613403
NPR,0.8802736401557922
PBS,0.9999016523361206
propublica,0.9998200535774231
nytimes,0.9998224377632141
CBSNews,0.99989253282547
thehill,0.999906599521637
weeklystandard,0.999897301197052
FoxNews,0.9999000430107117
amconmag,0.9999049305915833
OANN,0.699023425579071
realDailyWire,0.9999087452888489
BreitbartNews,0.9999061822891235
newswarz,0.9999008774757385
